Year,ID,Enrollment_Status,BIPOC,Household_Size,,rowNum,colNum
2021,3333318,Enrolled,All White,Multiple children,,1,626
2021,555240,Unenrolled,All White,Multiple children,,2,1236
2021,333170,Enrolled,At least one BIPOC,Multiple children,,3,1563
2021,555798,Unenrolled,All White,Multiple children,,4,270
2021,3331893,Enrolled,,Multiple children,,5,975
2021,555368,Unenrolled,All White,Multiple children,,6,1285
2021,3331241,Enrolled,All White,Multiple children,,7,954
2021,555473,Unenrolled,All White,Multiple children,,8,1174
2021,333728,Enrolled,At least one BIPOC,Single child,,9,428
2021,333328,Enrolled,At least one BIPOC,Multiple children,,10,1124
2021,555294,Unenrolled,At least one BIPOC,Multiple children,,11,1206
2021,3331600,Enrolled,At least one BIPOC,Multiple children,,12,451
2021,777660,Unenrolled,All White,Single child,,13,1714
2021,777490,Unenrolled,At least one BIPOC,Single child,,14,82
2021,333366,Enrolled,All White,Multiple children,,15,724
2021,777411,Unenrolled,All White,Single child,,16,293
2021,777869,Unenrolled,All White,Multiple children,,17,1043
2021,999572,Unenrolled,At least one BIPOC,Single child,,18,399
2021,3333185,Enrolled,All White,Single child,,19,247
2021,9991053,Unenrolled,At least one BIPOC,Multiple children,,20,1635
2021,3332827,Enrolled,At least one BIPOC,Multiple children,,21,1991
2021,3331296,Enrolled,At least one BIPOC,Single child,,22,1192
2021,3333172,Enrolled,All White,Single child,,23,50
2021,999600,Unenrolled,At least one BIPOC,Multiple children,,24,893
2021,999570,Unenrolled,All White,Single child,,25,1206
2021,3333298,Enrolled,At least one BIPOC,Single child,,26,566
2021,3333615,Enrolled,At least one BIPOC,Multiple children,,27,66
2021,333324,Enrolled,All White,Single child,,28,1486
2021,777515,Unenrolled,All White,Multiple children,,29,286
2021,777761,Unenrolled,All White,Single child,,30,890
2021,7771070,Unenrolled,At least one BIPOC,Single child,,31,789
2021,3331610,Enrolled,At least one BIPOC,Multiple children,,32,1385
2021,7771187,Unenrolled,At least one BIPOC,Multiple children,,33,1244
2021,7771938,Unenrolled,All White,Multiple children,,34,883
2021,7771469,Unenrolled,All White,Multiple children,,35,223
2021,77743,Unenrolled,All White,Single child,,36,706
2021,3331067,Enrolled,At least one BIPOC,Multiple children,,37,1047
2021,3332107,Enrolled,All White,Single child,,38,623
2021,7771462,Unenrolled,At least one BIPOC,Multiple children,,39,1055
2021,777409,Unenrolled,All White,Single child,,40,1985
2021,3332618,Enrolled,At least one BIPOC,Multiple children,,41,520
2021,777677,Unenrolled,At least one BIPOC,Single child,,42,1777
2021,3331310,Enrolled,At least one BIPOC,Multiple children,,43,1324
2021,777501,Unenrolled,All White,Multiple children,,44,1387
2021,7771380,Unenrolled,At least one BIPOC,Single child,,45,1264
2021,777840,Unenrolled,,Single child,,46,1861
2021,555690,Unenrolled,At least one BIPOC,Multiple children,,47,1408
2021,5551289,Unenrolled,,Single child,,48,1152
2021,555486,Unenrolled,,Multiple children,,49,1916
2021,555832,Unenrolled,All White,Single child,,50,559
2021,777893,Unenrolled,At least one BIPOC,Multiple children,,51,1617
2021,555942,Unenrolled,At least one BIPOC,Multiple children,,52,1464
2021,777342,Unenrolled,At least one BIPOC,Single child,,53,764
2021,999108,Unenrolled,All White,Single child,,54,1355
2021,7771357,Unenrolled,At least one BIPOC,Single child,,55,1180
2021,7771604,Unenrolled,At least one BIPOC,Single child,,56,924
2021,999438,Unenrolled,At least one BIPOC,Single child,,57,962
2021,55589,Unenrolled,All White,Multiple children,,58,740
2021,555580,Unenrolled,,Multiple children,,59,1428
2021,555632,Unenrolled,All White,Single child,,60,1371
2021,7771812,Unenrolled,All White,Single child,,61,626
2021,777199,Unenrolled,At least one BIPOC,Multiple children,,62,199
2021,999891,Unenrolled,All White,Single child,,63,1498
2021,7772008,Unenrolled,At least one BIPOC,Single child,,64,307
2021,7771124,Unenrolled,All White,Single child,,65,1242
2021,5551066,Unenrolled,At least one BIPOC,Multiple children,,66,866
2021,77775,Unenrolled,All White,Multiple children,,67,299
2021,999694,Unenrolled,All White,Single child,,68,233
2021,5551120,Unenrolled,All White,Multiple children,,69,1720
2021,555954,Unenrolled,At least one BIPOC,Multiple children,,70,254
2021,777613,Unenrolled,At least one BIPOC,Single child,,71,1622
2021,555659,Unenrolled,All White,Multiple children,,72,1413
2021,555884,Unenrolled,All White,Single child,,73,611
2021,7771890,Unenrolled,At least one BIPOC,Single child,,74,589
2021,555612,Unenrolled,At least one BIPOC,Single child,,75,525
2021,55578,Unenrolled,All White,Single child,,76,1548
2021,7771529,Unenrolled,At least one BIPOC,Multiple children,,77,1440
2021,555603,Unenrolled,At least one BIPOC,Multiple children,,78,1512
2021,777293,Unenrolled,At least one BIPOC,Multiple children,,79,999
2021,555617,Unenrolled,All White,Multiple children,,80,1542
2021,555941,Unenrolled,All White,Multiple children,,81,1051
2021,555599,Unenrolled,All White,Multiple children,,82,1025
